date,portfolio_nav,benchmark_nav,drawdown
2024-02-26,0.8934741665726266,1.162929212822883,-54.92748163052873
2024-02-27,0.9351620265097369,1.176880218620087,-52.82448089128282
2024-02-28,0.8434385992204512,1.1618856150878842,-57.451593813043104
2024-02-29,0.9011882000616778,1.1840517117999958,-54.53833672948283
2024-03-01,0.9262985710001191,1.1913663250306867,-53.2716099479703
2024-03-04,0.9391780470256507,1.192398473161623,-52.62188727946071
2024-03-05,0.9360674176858438,1.2006977523416966,-52.77880720317477
2024-03-06,0.952773453899254,1.1958262825661257,-51.936048506526134
2024-03-07,0.9289985599628349,1.1886440132882758,-53.13540533604939
2024-03-08,0.9444280230673341,1.1937592922797677,-52.35704510446446
2024-03-11,0.9691895146098745,1.2086956375324758,-51.107918018129226
2024-03-12,0.9881681673804322,1.2114671152217436,-50.150514091264554
2024-03-13,0.992648121960481,1.2030035005480657,-49.92451669519185
2024-03-14,0.9808294543908942,1.1995894980190502,-50.52072543973374
2024-03-15,0.9881120165106707,1.2022060693004124,-50.153346698186475
2024-03-18,1.0128834768629664,1.2134990831897923,-48.9037167216977
2024-03-19,1.0131771977208734,1.2047778524247064,-48.88889957391793
2024-03-20,1.036951095550879,1.207389035657098,-47.6895929943362
2024-03-21,1.047944154356195,1.2059430180146051,-47.13503320573037
2024-03-22,1.0255722798028066,1.1937902735613488,-48.263612816079004
2024-03-25,0.9965689036693756,1.1873114814272268,-49.72672753439861
2024-03-26,0.9975136396367774,1.1933676484702151,-49.679069044832694
2024-03-27,0.9480049305820052,1.179574243105402,-52.17660314464894
2024-03-28,0.9885697302665081,1.1856957402421593,-50.13025670583999
2024-03-29,0.994600385605959,1.191258564051274,-49.82603210289479
2024-04-01,1.0216329678245848,1.2108451323186964,-48.46233676148705
2024-04-02,1.01253809571792,1.20580360224749,-48.92113994285729
2024-04-03,0.9847682595319031,1.2014685800975573,-50.322027062417575
2024-04-08,0.9737238868070413,1.1908962177579991,-50.879175451419336
2024-04-09,0.9707873094188965,1.1899125620677986,-51.02731508793311
2024-04-10,0.9415687995698632,1.180221482487999,-52.50128251885613
2024-04-11,0.9409430716030126,1.1800652290678506,-52.532848216371875
2024-04-12,0.9365111418825521,1.1704994216266182,-52.75642293314733
2024-04-15,0.9196005857474615,1.1951622055304956,-53.60949891514316
2024-04-16,0.8614345687016365,1.182378722594615,-56.54376267996328
2024-04-17,0.9194827316407879,1.200660372751963,-53.61544422569236
